m4top,ht,njet,nbjet,nlep,met,met_phi,lep_pt0,lep_pt1,lep_pt2,lep_pt3,lep_pt4,lep_eta0,lep_eta1,lep_eta2,lep_eta3,lep_eta4,lep_phi0,lep_phi1,lep_phi2,lep_phi3,lep_phi4,jet_pt0,jet_pt1,jet_pt2,jet_pt3,jet_pt4,jet_pt5,jet_pt6,jet_pt7,jet_pt8,jet_pt9,jet_eta0,jet_eta1,jet_eta2,jet_eta3,jet_eta4,jet_eta5,jet_eta6,jet_eta7,jet_eta8,jet_eta9,jet_phi0,jet_phi1,jet_phi2,jet_phi3,jet_phi4,jet_phi5,jet_phi6,jet_phi7,jet_phi8,jet_phi9,jet_isb0,jet_isb1,jet_isb2,jet_isb3,jet_isb4,jet_isb5,jet_isb6,jet_isb7,jet_isb8,jet_isb9
-99.0,898.933898926,8,4,1,22.6320324397,-0.0860527438136,88.7204055786,0.0,0.0,0.0,0.0,1.43788218498,0.0,0.0,0.0,0.0,0.891529798508,0.0,0.0,0.0,0.0,184.610275269,159.076538086,125.718208313,113.344154358,68.656829834,67.7785263062,48.8335952759,42.1954193115,0.0,0.0,-0.0782788395882,-1.42919516563,-0.691282451153,1.50168800354,-1.44834220409,0.729318857193,0.971091449261,-0.895680904388,0.0,0.0,2.13604259491,-0.193707451224,-0.657139897346,-2.83481645584,-0.800856888294,2.9780755043,-2.39481663704,1.9070609808,0.0,0.0,1,0,1,0,0,0,1,1,0,0
-99.0,563.983947754,4,1,0,26.7260420119,1.81630805754,88.7204055786,0.0,0.0,0.0,0.0,1.43788218498,0.0,0.0,0.0,0.0,0.891529798508,0.0,0.0,0.0,0.0,186.682662964,179.748352051,152.183731079,45.3692131042,0.0,0.0,0.0,0.0,0.0,0.0,-2.34330463409,-1.39650475979,-1.90529417992,-1.28985059261,0.0,0.0,0.0,0.0,0.0,0.0,-2.99021339417,-0.0326951108873,0.292400717735,1.26684045792,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0
-99.0,303.772491455,6,1,0,0.0,0.0,88.7204055786,0.0,0.0,0.0,0.0,1.43788218498,0.0,0.0,0.0,0.0,0.891529798508,0.0,0.0,0.0,0.0,63.0822601318,58.594909668,55.0428504944,54.1053085327,42.3690071106,30.5781707764,0.0,0.0,0.0,0.0,2.03945708275,1.83126485348,1.2563842535,2.12072181702,2.37993478775,1.58859586716,0.0,0.0,0.0,0.0,-1.61904585361,-2.5546848774,0.312498629093,2.00922012329,-2.59291696548,2.66864776611,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0
-99.0,515.249084473,6,1,0,32.4424061283,1.91483583209,88.7204055786,0.0,0.0,0.0,0.0,1.43788218498,0.0,0.0,0.0,0.0,0.891529798508,0.0,0.0,0.0,0.0,211.106964111,97.5649871826,87.1589813232,42.4185791016,39.0121994019,37.9873580933,0.0,0.0,0.0,0.0,1.792740345,0.229792371392,-0.0739741697907,-1.41056799889,2.3314011097,0.96802687645,0.0,0.0,0.0,0.0,2.75531077385,-1.70224320889,-1.34823048115,-1.40310740471,0.429676800966,-2.86298537254,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0
-99.0,441.026397705,5,2,0,23.8526234698,-1.56735888452,88.7204055786,0.0,0.0,0.0,0.0,1.43788218498,0.0,0.0,0.0,0.0,0.891529798508,0.0,0.0,0.0,0.0,263.66317749,66.2829437256,43.5530281067,33.910610199,33.6166114807,0.0,0.0,0.0,0.0,0.0,0.609203994274,0.746927678585,0.311127007008,-0.897694528103,-0.578026473522,0.0,0.0,0.0,0.0,0.0,-0.732451081276,-3.02266645432,-1.60323572159,0.891441404819,1.43237578869,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,1,0,0
-99.0,817.535949707,4,2,3,58.41171875,2.57519886464,27.4324474335,115.334136963,27.1601696014,0.0,0.0,0.063390225172,-0.107997938991,0.358475357294,0.0,0.0,0.298390448093,1.11718559265,2.87609052658,0.0,0.0,349.692230225,134.861938477,82.3296966553,80.7253265381,0.0,0.0,0.0,0.0,0.0,0.0,-0.111046299338,-1.79055130482,-1.07873225212,-0.420560389757,0.0,0.0,0.0,0.0,0.0,0.0,-2.41211771965,-0.196807041764,0.875233352184,0.5786870718,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,1,0,0
-99.0,130.888137817,1,0,1,147.211327123,0.501316202082,37.0271492004,115.334136963,27.1601696014,0.0,0.0,-1.0486921072,-0.107997938991,0.358475357294,0.0,0.0,-0.63878595829,1.11718559265,2.87609052658,0.0,0.0,93.8609848022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.51754808426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0299050808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,1,0,0
-99.0,976.115356445,8,2,1,90.0648375496,-1.57460568264,44.9230766296,115.334136963,27.1601696014,0.0,0.0,-0.342566221952,-0.107997938991,0.358475357294,0.0,0.0,-1.80454182625,1.11718559265,2.87609052658,0.0,0.0,186.130187988,166.459442139,123.971130371,117.03377533,97.3705291748,91.5689086914,77.5854797363,71.0728149414,0.0,0.0,-0.39220905304,0.401902735233,0.535863518715,0.188031941652,2.3797390461,0.917004168034,2.25125193596,-0.840127408504,0.0,0.0,0.184034958482,-2.47174072266,-0.598759829998,2.03015398979,-2.9542555809,-1.63441967964,1.62877142429,1.77669036388,0.0,0.0,0,0,1,0,0,0,0,1,0,0
-99.0,546.681091309,4,1,2,152.052828573,3.01026417317,62.6955909729,42.1255950928,27.1601696014,0.0,0.0,-0.650606453419,2.17772698402,0.358475357294,0.0,0.0,2.65930008888,-1.97450196743,2.87609052658,0.0,0.0,283.203643799,83.9536743164,39.7430992126,34.959487915,0.0,0.0,0.0,0.0,0.0,0.0,-1.10995078087,1.78376924992,1.38014340401,-1.95855724812,0.0,0.0,0.0,0.0,0.0,0.0,-0.663157641888,1.56209564209,-0.243515208364,2.69994020462,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0
-99.0,725.252990723,8,4,0,21.2666421336,1.56251317405,62.6955909729,42.1255950928,27.1601696014,0.0,0.0,-0.650606453419,2.17772698402,0.358475357294,0.0,0.0,2.65930008888,-1.97450196743,2.87609052658,0.0,0.0,153.29397583,143.518112183,124.126686096,78.4559707642,74.8869476318,74.1638946533,42.4256324768,34.3817939758,0.0,0.0,1.72486066818,0.253404408693,-0.191756442189,0.451961517334,1.22048377991,-0.401032119989,0.477689415216,-0.00154104910325,0.0,0.0,-2.71857333183,-0.47068721056,-1.25304973125,2.39524197578,1.05634212494,1.73868358135,0.28885319829,-2.98353052139,0.0,0.0,0,0,1,1,0,1,0,1,0,0
-99.0,944.330566406,6,1,1,107.329650338,1.08659223357,26.5555305481,42.1255950928,27.1601696014,0.0,0.0,1.0422334671,2.17772698402,0.358475357294,0.0,0.0,-0.660734832287,-1.97450196743,2.87609052658,0.0,0.0,418.131072998,201.07069397,120.402366638,85.8373336792,49.5549125671,42.7785987854,0.0,0.0,0.0,0.0,-0.625515818596,-0.851273059845,0.0644464045763,-0.5294470191,-1.20726191998,1.45926105976,0.0,0.0,0.0,0.0,-1.2823741436,2.06368470192,2.25376343727,1.59862923622,-2.07152056694,2.121935606,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
-99.0,530.917114258,3,1,1,19.0123667868,-2.78458019025,191.436264038,42.1255950928,27.1601696014,0.0,0.0,-1.21385264397,2.17772698402,0.358475357294,0.0,0.0,-1.61710631847,-1.97450196743,2.87609052658,0.0,0.0,194.660797119,101.261428833,43.5586128235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56774276495,-0.715961694717,-0.254140526056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57840240002,1.17534971237,-1.77521312237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0
-99.0,375.131958008,7,1,0,62.9222318654,3.02864081047,191.436264038,42.1255950928,27.1601696014,0.0,0.0,-1.21385264397,2.17772698402,0.358475357294,0.0,0.0,-1.61710631847,-1.97450196743,2.87609052658,0.0,0.0,82.8734664917,82.6276855469,57.9707984924,53.5195503235,45.9016876221,27.0811595917,25.1576251984,0.0,0.0,0.0,-0.145659253001,0.290231645107,-2.37573814392,-1.4284068346,-2.48375654221,0.231376349926,-1.9035077095,0.0,0.0,0.0,1.94057357311,-2.61513471603,-1.19024085999,-0.524595379829,0.264158815145,-1.06552326679,-2.17802453041,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0
-99.0,604.778503418,8,2,0,11.1834296875,-2.58333966606,191.436264038,42.1255950928,27.1601696014,0.0,0.0,-1.21385264397,2.17772698402,0.358475357294,0.0,0.0,-1.61710631847,-1.97450196743,2.87609052658,0.0,0.0,214.079788208,117.535675049,69.8874435425,53.6614074707,42.1448402405,36.4452438354,35.7828979492,35.2411842346,0.0,0.0,0.601609051228,0.431772589684,1.78418779373,1.40639686584,1.98721814156,0.235679641366,1.24847412109,0.248029604554,0.0,0.0,-0.248726636171,3.01686787605,-2.52797579765,-0.500434935093,1.85129129887,-0.813090920448,2.94165325165,2.0964345932,0.0,0.0,0,1,1,0,0,0,0,0,0,0
-99.0,348.552612305,6,0,0,110.920105239,-0.668154063378,191.436264038,42.1255950928,27.1601696014,0.0,0.0,-1.21385264397,2.17772698402,0.358475357294,0.0,0.0,-1.61710631847,-1.97450196743,2.87609052658,0.0,0.0,97.4875106812,67.678314209,51.5835113525,51.0867767334,42.5111579895,38.2053146362,0.0,0.0,0.0,0.0,-1.19179916382,1.37453877926,0.471477657557,-0.738489866257,1.36012935638,0.962109327316,0.0,0.0,0.0,0.0,1.64558339119,0.786536753178,-2.12856030464,2.86640191078,-3.00094389915,0.526518046856,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
-99.0,321.501190186,5,1,1,92.5732336742,1.26796324387,53.2921485901,42.1255950928,27.1601696014,0.0,0.0,0.940705120564,2.17772698402,0.358475357294,0.0,0.0,2.26191806793,-1.97450196743,2.87609052658,0.0,0.0,84.1209182739,68.2123260498,49.9589996338,35.4171867371,30.4996147156,0.0,0.0,0.0,0.0,0.0,1.84574759007,-2.3422703743,0.79365170002,1.30612766743,1.53186511993,0.0,0.0,0.0,0.0,0.0,-0.683673620224,0.205768570304,-1.22913730145,-2.66200423241,3.09172940254,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
-99.0,335.520019531,6,2,1,19.7421793975,1.50631049612,63.3717956543,42.1255950928,27.1601696014,0.0,0.0,-0.482285022736,2.17772698402,0.358475357294,0.0,0.0,1.91203391552,-1.97450196743,2.87609052658,0.0,0.0,74.910987854,53.9265365601,49.6330184937,33.1222038269,31.0027885437,29.5526828766,0.0,0.0,0.0,0.0,-0.732872247696,-0.346561640501,0.256109148264,0.873721122742,-0.088373221457,1.54404532909,0.0,0.0,0.0,0.0,-0.890990197659,-2.85259008408,0.346454381943,-1.8293633461,2.72038984299,1.16878080368,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0
-99.0,151.937744141,2,0,1,47.9240393575,0.653341902739,36.321308136,42.1255950928,27.1601696014,0.0,0.0,2.08627080917,2.17772698402,0.358475357294,0.0,0.0,-2.35113024712,-1.97450196743,2.87609052658,0.0,0.0,60.5317878723,55.0846405029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64376527071,0.188006535172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0825432539,-0.416003227234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
-99.0,285.46673584,5,1,0,110.473354139,-0.82711132495,36.321308136,42.1255950928,27.1601696014,0.0,0.0,2.08627080917,2.17772698402,0.358475357294,0.0,0.0,-2.35113024712,-1.97450196743,2.87609052658,0.0,0.0,82.2305984497,58.5005722046,56.0277786255,54.7429046631,33.9648780823,0.0,0.0,0.0,0.0,0.0,1.30185806751,0.469895064831,-0.330297708511,1.10792863369,-0.545420587063,0.0,0.0,0.0,0.0,0.0,2.01848840714,-1.75193023682,2.99109339714,0.816123843193,2.09787321091,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
-99.0,447.486236572,6,1,0,5.04233081885,-1.58518683822,36.321308136,42.1255950928,27.1601696014,0.0,0.0,2.08627080917,2.17772698402,0.358475357294,0.0,0.0,-2.35113024712,-1.97450196743,2.87609052658,0.0,0.0,139.497909546,110.819618225,79.9632110596,41.3071556091,41.0346488953,34.8637123108,0.0,0.0,0.0,0.0,-2.24055242538,-1.20416116714,-0.78654050827,-1.93256080151,-0.774338245392,-2.46786570549,0.0,0.0,0.0,0.0,0.510323703289,2.65879893303,-2.90929055214,-0.650067448616,-2.33446741104,2.52093291283,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
